id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
Y3HNUBQJHAzWnnhk3iReiA,junoon-flavors-of-india-sacramento-2,Junoon Flavors Of India,https://s3-media1.fl.yelpcdn.com/bphoto/P7Pzdg7y8XugrXW26gGWdA/o.jpg,False,https://www.yelp.com/biz/junoon-flavors-of-india-sacramento-2?adjust_creative=DdKjoKFfmeXwHvSxIpb5Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DdKjoKFfmeXwHvSxIpb5Iw,20,"[{'alias': 'indpak', 'title': 'Indian'}]",5.0,"{'latitude': 38.570471, 'longitude': -121.4571694}",[],"{'address1': '3672 J St', 'address2': None, 'address3': '', 'city': 'Sacramento', 'zip_code': '95816', 'country': 'US', 'state': 'CA', 'display_address': ['3672 J St', 'Sacramento, CA 95816']}",+19169429796,(916) 942-9796,1267.1380048657106,
9GhIDT1D_8-0ZxKDIB2WpA,shake-shack-sacramento,Shake Shack,https://s3-media3.fl.yelpcdn.com/bphoto/TxbovZr3Khn7Pkw2D7n_Hg/o.jpg,False,https://www.yelp.com/biz/shake-shack-sacramento?adjust_creative=DdKjoKFfmeXwHvSxIpb5Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DdKjoKFfmeXwHvSxIpb5Iw,168,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",3.0,"{'latitude': 38.568686, 'longitude': -121.487243}",['delivery'],"{'address1': '1710 R St', 'address2': 'Ste 190', 'address3': None, 'city': 'Sacramento', 'zip_code': '95811', 'country': 'US', 'state': 'CA', 'display_address': ['1710 R St', 'Ste 190', 'Sacramento, CA 95811']}",+12793214002,(279) 321-4002,3883.0615497019303,
LwiOfwMNDndIPm3QSh8wFQ,south-sacramento,South,https://s3-media3.fl.yelpcdn.com/bphoto/yHsuXvO_9nAmlx8jsXEVzg/o.jpg,False,https://www.yelp.com/biz/south-sacramento?adjust_creative=DdKjoKFfmeXwHvSxIpb5Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DdKjoKFfmeXwHvSxIpb5Iw,1590,"[{'alias': 'southern', 'title': 'Southern'}]",4.0,"{'latitude': 38.5687015705627, 'longitude': -121.497104891816}",['delivery'],"{'address1': '2005 11th St', 'address2': '', 'address3': '', 'city': 'Sacramento', 'zip_code': '95818', 'country': 'US', 'state': 'CA', 'display_address': ['2005 11th St', 'Sacramento, CA 95818']}",+19163829722,(916) 382-9722,4735.638709331096,$$
myoaFyZ9RIG_p2rkOQiWlA,fixins-soul-kitchen-sacramento-2,Fixins Soul Kitchen,https://s3-media4.fl.yelpcdn.com/bphoto/wVYnJGpeHkwy9VO--0wMYQ/o.jpg,False,https://www.yelp.com/biz/fixins-soul-kitchen-sacramento-2?adjust_creative=DdKjoKFfmeXwHvSxIpb5Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DdKjoKFfmeXwHvSxIpb5Iw,946,"[{'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bars', 'title': 'Bars'}]",4.5,"{'latitude': 38.55147, 'longitude': -121.46924}",['delivery'],"{'address1': '3428 3rd Ave', 'address2': '', 'address3': None, 'city': 'Sacramento', 'zip_code': '95817', 'country': 'US', 'state': 'CA', 'display_address': ['3428 3rd Ave', 'Sacramento, CA 95817']}",+19169997685,(916) 999-7685,3270.943674248078,$$
rQaH3Jr6BxFhX5pXa6W6_w,chando-s-tacos-sacramento,Chando’s Tacos,https://s3-media2.fl.yelpcdn.com/bphoto/yoraiBt-0HpoXAJq0MydvQ/o.jpg,False,https://www.yelp.com/biz/chando-s-tacos-sacramento?adjust_creative=DdKjoKFfmeXwHvSxIpb5Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DdKjoKFfmeXwHvSxIpb5Iw,14,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.5,"{'latitude': 38.564075, 'longitude': -121.43409833}",[],"{'address1': '5644 J St', 'address2': '', 'address3': None, 'city': 'Sacramento', 'zip_code': '95819', 'country': 'US', 'state': 'CA', 'display_address': ['5644 J St', 'Sacramento, CA 95819']}",+19164766312,(916) 476-6312,1210.413972994189,
lNQacLdqaAWKOSk4Gfyazg,basha-taste-of-jerusalem-sacramento-3,Basha Taste of Jerusalem,https://s3-media2.fl.yelpcdn.com/bphoto/mH88H4jN2UQ2jV7pMCKiPQ/o.jpg,False,https://www.yelp.com/biz/basha-taste-of-jerusalem-sacramento-3?adjust_creative=DdKjoKFfmeXwHvSxIpb5Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DdKjoKFfmeXwHvSxIpb5Iw,138,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'halal', 'title': 'Halal'}]",5.0,"{'latitude': 38.5990521255, 'longitude': -121.401932727}","['pickup', 'delivery']","{'address1': '1833 Fulton Ave', 'address2': None, 'address3': '', 'city': 'Sacramento', 'zip_code': '95825', 'country': 'US', 'state': 'CA', 'display_address': ['1833 Fulton Ave', 'Sacramento, CA 95825']}",+19164861944,(916) 486-1944,4610.687134258645,$$
weTE66GM7sdq75BKnwSV9g,the-other-side-sacramento,The Other Side,https://s3-media4.fl.yelpcdn.com/bphoto/TDE9Mcbkr8jxAengO7Jm2g/o.jpg,False,https://www.yelp.com/biz/the-other-side-sacramento?adjust_creative=DdKjoKFfmeXwHvSxIpb5Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DdKjoKFfmeXwHvSxIpb5Iw,257,"[{'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",4.0,"{'latitude': 38.5606468517138, 'longitude': -121.443885815904}",['delivery'],"{'address1': '5090 Folsom Blvd', 'address2': '', 'address3': None, 'city': 'Sacramento', 'zip_code': '95819', 'country': 'US', 'state': 'CA', 'display_address': ['5090 Folsom Blvd', 'Sacramento, CA 95819']}",+19164751875,(916) 475-1875,1341.3008148481244,$$
AsB5TWEAnAhkmk02VxlYaQ,maydoon-sacramento,Maydoon,https://s3-media3.fl.yelpcdn.com/bphoto/fCCO_LjBPyRMI7UBN4AKQQ/o.jpg,False,https://www.yelp.com/biz/maydoon-sacramento?adjust_creative=DdKjoKFfmeXwHvSxIpb5Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DdKjoKFfmeXwHvSxIpb5Iw,45,"[{'alias': 'persian', 'title': 'Persian/Iranian'}]",5.0,"{'latitude': 38.572124, 'longitude': -121.48748}",[],"{'address1': '1501 16th St', 'address2': '', 'address3': None, 'city': 'Sacramento', 'zip_code': '95814', 'country': 'US', 'state': 'CA', 'display_address': ['1501 16th St', 'Sacramento, CA 95814']}",+19163824309,(916) 382-4309,3878.547999650574,
nY9wcImB1LqqOLjthGMmLg,world-famous-hotboys-sacramento,World Famous Hotboys,https://s3-media4.fl.yelpcdn.com/bphoto/8XYPpV71EpCjaECKlh_ngQ/o.jpg,False,https://www.yelp.com/biz/world-famous-hotboys-sacramento?adjust_creative=DdKjoKFfmeXwHvSxIpb5Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DdKjoKFfmeXwHvSxIpb5Iw,2,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'popupshops', 'title': 'Pop-up Shops'}]",4.5,"{'latitude': 38.5753288269043, 'longitude': -121.467102050781}",[],"{'address1': '', 'address2': '', 'address3': None, 'city': 'Sacramento', 'zip_code': '95816', 'country': 'US', 'state': 'CA', 'display_address': ['Sacramento, CA 95816']}",,,1911.473536559856,
opkhFDwEKQoe17EJiGsPTw,midtown-taco-company-sacramento,Midtown Taco Company,https://s3-media2.fl.yelpcdn.com/bphoto/GHUKAi07WWGkYaWlBfBdKA/o.jpg,False,https://www.yelp.com/biz/midtown-taco-company-sacramento?adjust_creative=DdKjoKFfmeXwHvSxIpb5Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DdKjoKFfmeXwHvSxIpb5Iw,48,"[{'alias': 'tacos', 'title': 'Tacos'}]",4.5,"{'latitude': 38.56839, 'longitude': -121.47049}",[],"{'address1': '1420 29th St', 'address2': '', 'address3': None, 'city': 'Sacramento', 'zip_code': '95816', 'country': 'US', 'state': 'CA', 'display_address': ['1420 29th St', 'Sacramento, CA 95816']}",+19164521420,(916) 452-1420,2442.0860756740644,
